0.03012 0.533333
0.06177 0.8
0.06270 1.06667
0.09342 1.33333
0.09435 1.6
0.09527 1.86667
0.09620 2.13333
0.12508 1.8
0.12600 2
0.12692 2.2
0.12785 2.4
0.12877 2.6
0.12970 2.8
0.13062 3
0.13155 3.2
0.15673 4.53333
0.15765 4.8
0.15858 5.06667
0.15950 5.33333
0.16042 5.6
0.16135 5.86667
0.16227 6.13333
0.16320 6.4
0.16412 6.66667
0.16505 6.93333
0.16597 7.2
0.16690 7.46667
0.16782 7.73333
0.16874 8
0.16967 8.26667
0.17059 8.53333
0.18838 8.8
0.18930 9.06667
0.19023 9.33333
0.19115 9.6
0.19208 9.86667
0.19300 10.1333
0.19392 10.4
0.19485 10.6667
0.19577 10.9333
0.19670 11.2
0.19762 11.4667
0.19855 11.7333
0.19947 12
0.20040 12.2667
0.20132 12.5333
0.20224 12.8
0.20317 13.0667
0.20409 13.3333
0.20502 13.6
0.20594 13.8667
0.20687 14.1333
0.20779 14.4
0.20872 14.6667
0.20964 14.9333
0.21056 15.2
0.21149 15.4667
0.21241 15.7333
0.21334 16
0.21426 16.2667
0.21519 16.5333
0.21611 16.8
0.21704 17.0667
0.22003 17.0667
0.22095 17.0667
0.22188 17.0667
0.22280 17.0667
0.22373 17.0667
0.22465 17.0667
0.22558 17.0667
0.22650 17.0667
0.22743 17.0667
0.22835 17.0667
0.22927 17.0667
0.23020 17.0667
0.23112 17.0667
0.23205 17.0667
0.23297 17.0667
0.23390 17.0667
0.23482 17.0667
0.23575 17.0667
0.23667 17.0667
0.23759 17.0667
0.23852 17.0667
0.23944 17.0667
0.24037 17.0667
0.24129 17.0667
0.24222 17.0667
0.24314 17.0667
0.24407 17.0667
0.24499 17.0667
0.24591 17.0667
0.24684 17.0667
0.24776 17.0667
0.24869 17.0667
0.24961 17.0667
0.25054 17.0667
0.25146 17.0667
0.25239 17.0667
0.25331 17.0667
0.25423 17.0667
0.25516 17.0667
0.25608 17.0667
0.25701 17.0667
0.25793 17.0667
0.25886 17.0667
0.25978 17.0667
0.26071 17.0667
0.26163 17.0667
0.26255 17.0667
0.26348 17.0667
0.26440 17.0667
0.26533 17.0667
0.26625 17.0667
0.26718 17.0667
0.26810 17.0667
0.26903 17.0667
0.26995 17.0667
0.27087 17.0667
0.27180 17.0667
0.27272 17.0667
0.27365 17.0667
0.27457 17.0667
0.33281 0.533333
0.36446 0.8
0.39611 1.06667
0.39704 1.33333
0.39796 1.6
0.39889 1.86667
0.42777 2.13333
0.42869 2.4
0.42961 2.66667
0.43054 2.93333
0.43146 3.2
0.43239 3.46667
0.43331 3.73333
0.45942 4
0.46034 4.26667
0.46127 4.53333
0.46219 4.8
0.46311 5.06667
0.46404 5.33333
0.46496 5.6
0.46589 5.86667
0.46681 6.13333
0.46774 6.4
0.46866 6.66667
0.46959 6.93333
0.47051 7.2
0.47143 7.46667
0.49107 7.73333
0.49199 8
0.49292 8.26667
0.49384 8.53333
0.49477 8.5416
0.49569 8.54987
0.49661 8.5584
0.49754 8.56667
0.49846 8.57493
0.49939 8.5832
0.50031 8.59147
0.50124 8.59973
0.50216 8.608
0.50309 8.61627
0.50401 8.62453
0.50493 8.6328
0.50586 8.64107
0.50678 8.64933
0.50771 8.6576
0.50863 8.6656
0.50956 8.67387
0.51048 8.68213
0.51141 8.6904
0.51233 8.6984
0.51325 8.70667
0.51418 8.71493
0.51510 8.72293
0.51603 8.7312
0.52272 8.7392
0.52364 8.74747
0.52457 8.75547
0.52549 8.76373
0.52642 8.77173
0.52734 8.78
0.52827 8.788
0.52919 8.796
0.53011 8.80427
0.53104 8.81227
0.53196 8.82027
0.53289 8.82827
0.53381 8.83653
0.53474 8.84453
0.53566 8.85253
0.53659 8.86053
0.53751 8.86853
0.53843 8.87653
0.53936 8.88453
0.54028 8.89253
0.54121 8.90053
0.54213 8.90853
0.54306 8.91653
0.54398 8.92453
0.54491 8.93253
0.54583 8.94053
0.54675 8.94853
0.54768 8.95627
0.54860 8.96427
0.54953 8.97227
0.55045 8.98027
0.55138 8.988
0.55437 8.996
0.55529 9.004
0.55622 9.01173
0.55714 9.01973
0.55807 9.02747
0.55899 9.03547
0.55992 9.04347
0.56084 9.0512
0.56177 9.05893
0.56269 9.06693
0.56361 9.07467
0.56454 9.08267
0.56546 9.0904
0.56639 9.09813
0.56731 9.10613
0.56824 9.11387
0.56916 9.1216
0.57009 9.12933
0.57101 9.13733
