subject,practice/real,trial#,target/nontarget,target_type,setsize,error,responsetime_ms,,,,
1280391,2,130,2,2,16,0,690,,,,
1280391,2,131,2,1,16,1,273,,,,
1280391,2,132,1,2,16,0,130,,,,
1280391,2,133,1,2,8,0,872,,,,
1280391,2,134,2,2,16,0,135,,,,
1280391,2,135,2,2,8,0,1540,,,,
1280391,2,136,2,2,16,0,840,,,,
1280391,2,137,2,2,8,0,596,,,,
1280391,2,138,2,2,4,0,595,,,,
1280391,2,139,2,2,16,0,813,,,,
1280391,2,140,1,1,16,0,251,,,,
1280391,2,141,1,2,8,1,263,,,,
1280391,2,142,1,2,16,1,640,,,,
1280391,2,143,1,2,16,0,773,,,,
1280391,2,144,1,2,8,1,426,,,,
1280391,2,145,1,2,16,0,792,,,,
1280391,2,146,2,2,4,0,1104,,,,
1280391,2,147,1,2,8,0,672,,,,
1280391,2,148,1,2,4,0,746,,,,
1280391,2,149,2,2,8,0,783,,,,
1280391,2,150,2,2,16,0,697,,,,
1280391,2,151,1,1,4,0,1392,,,,
1280391,2,152,2,1,4,0,1011,,,,
1280391,2,153,2,1,8,0,1198,,,,
1280391,2,154,2,2,4,1,607,,,,
1280391,2,155,2,1,16,0,858,,,,
1280391,2,156,2,2,4,1,639,,,,
1280391,2,157,2,2,8,0,823,,,,
1280391,2,158,2,2,8,0,870,,,,
1280391,2,159,1,2,4,0,699,,,,
1280391,2,160,2,2,8,0,612,,,,
1280391,2,161,1,1,16,1,829,,,,
1280391,2,162,2,2,4,0,1196,,,,
1280391,2,163,1,1,8,0,955,,,,
1280391,2,164,2,2,4,0,821,,,,
1280391,2,165,1,1,4,0,958,,,,
1280391,2,166,1,1,16,0,1329,,,,
1280391,2,167,1,1,4,0,815,,,,
1280391,2,168,1,2,8,0,665,,,,
1280391,2,169,1,1,4,0,675,,,,
1280391,2,170,1,2,8,1,1023,,,,
1280391,2,171,2,2,16,0,891,,,,
1280391,2,172,1,1,16,0,883,,,,
1280391,2,173,2,2,4,0,1019,,,,
1280391,2,174,2,2,8,1,708,,,,
1280391,2,175,2,2,16,0,705,,,,
1280391,2,176,1,2,8,1,347,,,,
1280391,2,177,2,1,16,0,1019,,,,
1280391,2,178,1,1,16,0,611,,,,
1280391,2,179,2,2,8,0,585,,,,
1280391,2,180,1,2,4,0,658,,,,
1280391,2,181,1,2,8,1,890,,,,
1280391,2,182,1,2,16,0,773,,,,
1280391,2,183,1,2,8,0,1001,,,,
1280391,2,184,2,1,16,0,908,,,,
1280391,2,185,1,2,4,0,1021,,,,
1280391,2,186,2,2,16,0,923,,,,
1280391,2,187,2,2,16,0,736,,,,
1280391,2,188,2,2,8,0,763,,,,
1280391,2,189,1,2,4,0,515,,,,
1280391,2,190,2,2,4,1,765,,,,
1280391,2,191,2,2,4,1,619,,,,
1280391,2,192,2,1,8,1,810,,,,
1280391,2,193,2,1,8,0,990,,,,
1280391,2,194,2,2,4,0,664,,,,
1280391,2,195,1,1,16,0,795,,,,
1280391,2,196,1,1,16,1,952,,,,
1280391,2,197,2,1,4,0,1004,,,,
1280391,2,198,2,2,16,0,737,,,,
1280391,2,199,2,2,4,0,605,,,,
1280391,2,200,1,2,4,0,791,,,,
1280391,2,201,2,2,8,0,604,,,,
1280391,2,202,2,1,4,0,1034,,,,
1280391,2,203,2,1,8,0,791,,,,
1280391,2,204,1,1,4,0,523,,,,
1280391,2,205,1,1,8,0,777,,,,
1280391,2,206,1,1,4,0,790,,,,
1280391,2,207,2,1,4,0,730,,,,
1280391,2,208,2,1,8,0,1149,,,,
1280391,2,209,2,2,8,0,813,,,,
1280391,2,210,1,2,4,0,937,,,,
1280391,2,211,1,2,16,1,719,,,,
1280391,2,212,2,1,8,0,903,,,,
1280391,2,213,2,2,4,0,656,,,,
1280391,2,214,2,1,16,1,832,,,,
1280391,2,215,2,2,16,0,828,,,,
1280391,2,216,1,2,16,0,671,,,,
1280391,2,217,2,2,4,0,798,,,,
1280391,2,218,2,1,8,0,823,,,,
1280391,2,219,2,2,4,0,776,,,,
1280391,2,220,2,1,4,0,732,,,,
1280391,2,221,2,1,16,0,687,,,,
1280391,2,222,1,2,16,0,881,,,,
1280391,2,223,1,2,16,1,775,,,,
1280391,2,224,2,2,16,0,759,,,,
1280391,2,225,1,2,8,1,762,,,,
1280391,2,226,2,2,4,0,783,,,,
1280391,2,227,2,2,16,0,879,,,,
1280391,2,228,2,1,16,0,998,,,,
1280391,2,229,1,1,4,0,802,,,,
1280391,2,230,1,1,8,1,909,,,,
1280391,2,231,1,1,8,1,763,,,,
1280391,2,232,1,1,4,0,768,,,,
1280391,2,233,2,1,8,0,919,,,,
1280391,2,234,1,1,16,1,632,,,,
1280391,2,235,2,2,4,1,792,,,,
1280391,2,236,2,2,16,0,1113,,,,
1280391,2,237,1,1,4,0,1202,,,,
1280391,2,238,2,1,16,0,1257,,,,
1280391,2,239,2,1,4,0,901,,,,
1280391,2,240,1,2,8,0,719,,,,
,,,,,,,,,,,
,,,,,,,,ê≥ãKÉfÅ[É^ëçåv,185,,
,,,,,,,,,,,
,,,,,,,,ñ⁄ïWéhåÉÇ™Å¸,4,8,16
,,,,,,,,ñ⁄ïWéhåÉÅ¸/éhåÉÇ†ÇË,929.1052632,1108.7,768
,,,,,,,,ñ⁄ïWéhåÉÅ¸/éhåÉÇ»Çµ,895.8,941.5,1147.923077
,,,,,,,,ñ⁄ïWéhåÉñ_/éhåÉÇ†ÇË,789.75,800.6923077,766.7647059
,,,,,,,,ñ⁄ïWéhåÉñ_/éhåÉÇ»Çµ,817.6153846,821.6111111,830.45
