0.00000 12800 12800
0.03009 2133.33 12800
0.06126 2133.33 12800
0.06172 2133.33 12800
0.09243 2133.33 12800
0.09289 2133.33 12800
0.09335 2133.33 12800
0.09382 2133.33 12800
0.12360 2133.33 12800
0.12406 2133.33 12800
0.12452 2133.33 12800
0.12499 2133.33 12800
0.12545 2133.33 12800
0.12591 2133.33 12800
0.12637 2133.33 12800
0.12684 2133.33 12800
0.15477 1600 12800
0.15523 1600 12800
0.15570 1600 12800
0.15616 1600 12800
0.15662 1600 12800
0.15708 1600 12800
0.15754 1600 12800
0.15801 1600 12800
0.15847 1600 12800
0.15893 1600 12800
0.15939 1600 12800
0.15986 1600 12800
0.16032 1600 12800
0.16078 1600 12800
0.16124 1600 12800
0.16170 1600 12800
0.18594 2133.33 12800
0.18640 2133.33 12800
0.18687 2133.33 12800
0.18733 2133.33 12800
0.18779 2133.33 12800
0.18825 2133.33 12800
0.18872 2133.33 12800
0.18918 2133.33 12800
0.18964 2133.33 12800
0.19010 2133.33 12800
0.19056 2133.33 12800
0.19103 2133.33 12800
0.19149 2133.33 12800
0.19195 2133.33 12800
0.19241 2133.33 12800
0.19288 2133.33 12800
0.19334 2133.33 12800
0.19380 2133.33 12800
0.19426 2133.33 12800
0.19472 2133.33 12800
0.19519 2133.33 12800
0.19565 2133.33 12800
0.19611 2133.33 12800
0.19657 2133.33 12800
0.19704 2133.33 12800
0.19750 2133.33 12800
0.19796 2133.33 12800
0.19842 2133.33 12800
0.19888 2133.33 12800
0.19935 2133.33 12800
0.19981 2133.33 12800
0.20027 2133.33 12800
0.21711 2133.87 12800
0.21758 2134.37 12800
0.21804 2134.9 12800
0.21850 2135.4 12800
0.21896 2135.93 12800
0.21943 2136.47 12800
0.21989 2136.97 12800
0.22035 2137.5 12800
0.22081 2138 12800
0.22127 2138.53 12800
0.22174 2139.07 12800
0.22220 2139.57 12800
0.22266 2140.1 12800
0.22312 2140.6 12800
0.22359 2141.13 12800
0.22405 2141.67 12800
0.22451 2142.17 12800
0.22497 2142.7 12800
0.22543 2143.2 12800
0.22590 2143.73 12800
0.22636 2144.23 12800
0.22682 2144.77 12800
0.22728 2145.27 12800
0.22775 2145.8 12800
0.22821 2146.3 12800
0.22867 2146.83 12800
0.22913 2147.37 12800
0.22959 2147.87 12800
0.23006 2148.4 12800
0.23052 2148.9 12800
0.23098 2149.43 12800
0.23144 2149.93 12800
0.23191 2150.47 12800
0.23237 2150.97 12800
0.23283 2151.5 12800
0.23329 2152 12800
0.23375 2152.53 12800
0.23422 2153.03 12800
0.23468 2153.57 12800
