0.00000 1.000 64
0.03009 2.000 64
0.06126 3.000 64
0.06172 4.000 64
0.09243 5.000 64
0.09289 6.000 64
0.09335 7.000 64
0.09382 8.000 64
0.12360 9.000 64
0.12406 10.000 64
0.12452 11.000 64
0.12499 12.000 64
0.12545 13.000 64
0.12591 14.000 64
0.12637 15.000 64
0.12684 16.000 64
0.15477 17.000 64
0.15523 18.000 64
0.15570 19.000 64
0.15616 20.000 64
0.15662 21.000 64
0.15708 22.000 64
0.15754 23.000 64
0.15801 24.000 64
0.15847 25.000 64
0.15893 26.000 64
0.15939 27.000 64
0.15986 28.000 64
0.16032 29.000 64
0.16078 30.000 64
0.16124 31.000 64
0.16170 32.000 64
0.18594 33.000 64
0.18640 34.000 64
0.18687 35.000 64
0.18733 36.000 64
0.18779 37.000 64
0.18825 38.000 64
0.18872 39.000 64
0.18918 40.000 64
0.18964 41.000 64
0.19010 42.000 64
0.19056 43.000 64
0.19103 44.000 64
0.19149 45.000 64
0.19195 46.000 64
0.19241 47.000 64
0.19288 48.000 64
0.19334 49.000 64
0.19380 50.000 64
0.19426 51.000 64
0.19472 52.000 64
0.19519 53.000 64
0.19565 54.000 64
0.19611 55.000 64
0.19657 56.000 64
0.19704 57.000 64
0.19750 58.000 64
0.19796 59.000 64
0.19842 60.000 64
0.19888 61.000 64
0.19935 62.000 64
0.19981 63.000 64
0.20027 64.000 64
0.21711 64.016 64
0.21758 64.031 64
0.21804 64.047 64
0.21850 64.062 64
0.21896 64.078 64
0.21943 64.094 64
0.21989 64.109 64
0.22035 64.125 64
0.22081 64.140 64
0.22127 64.156 64
0.22174 64.172 64
0.22220 64.187 64
0.22266 64.203 64
0.22312 64.218 64
0.22359 64.234 64
0.22405 64.250 64
0.22451 64.265 64
0.22497 64.281 64
0.22543 64.296 64
0.22590 64.312 64
0.22636 64.327 64
0.22682 64.343 64
0.22728 64.358 64
0.22775 64.374 64
0.22821 64.389 64
0.22867 64.405 64
0.22913 64.421 64
0.22959 64.436 64
0.23006 64.452 64
0.23052 64.467 64
0.23098 64.483 64
0.23144 64.498 64
0.23191 64.514 64
0.23237 64.529 64
0.23283 64.545 64
0.23329 64.560 64
0.23375 64.576 64
0.23422 64.591 64
0.23468 64.607 64
0.23514 64.622 64
0.23560 64.638 64
0.23607 64.653 64
0.23653 64.668 64
0.23699 64.684 64
0.23745 64.699 64
0.23791 64.715 64
0.23838 64.730 64
0.23884 64.746 64
0.23930 64.761 64
0.23976 64.777 64
0.24023 64.792 64
0.24069 64.808 64
0.24115 64.823 64
0.24161 64.838 64
0.24207 64.854 64
0.24254 64.869 64
0.24300 64.885 64
0.24346 64.900 64
0.24392 64.915 64
0.24439 64.931 64
0.24485 64.946 64
0.24531 64.962 64
0.24577 64.977 64
0.24623 64.992 64
0.24829 65.008 64
0.24875 65.023 64
0.24921 65.039 64
0.24967 65.054 64
0.25013 65.069 64
0.25060 65.085 64
0.25106 65.100 64
0.25152 65.115 64
0.25198 65.131 64
0.25245 65.146 64
0.25291 65.161 64
0.25337 65.177 64
0.25383 65.192 64
0.25429 65.208 64
0.25476 65.223 64
0.25522 65.238 64
0.25568 65.254 64
0.25614 65.269 64
0.25661 65.284 64
0.25707 65.299 64
0.25753 65.315 64
0.25799 65.330 64
0.25845 65.345 64
0.25892 65.361 64
0.25938 65.376 64
0.25984 65.391 64
0.26030 65.407 64
0.26077 65.422 64
0.26123 65.437 64
0.26169 65.452 64
0.26215 65.468 64
0.26261 65.483 64
0.26308 65.498 64
0.26354 65.514 64
0.26400 65.529 64
0.26446 65.544 64
0.26493 65.559 64
0.26539 65.575 64
0.26585 65.590 64
0.26631 65.605 64
0.26677 65.620 64
0.26724 65.636 64
0.26770 65.651 64
0.26816 65.666 64
0.26862 65.681 64
0.26909 65.696 64
0.26955 65.712 64
0.27001 65.727 64
0.27047 65.742 64
0.27093 65.757 64
0.27140 65.773 64
0.27186 65.788 64
0.27232 65.803 64
0.27278 65.818 64
0.27325 65.833 64
0.27371 65.849 64
0.27417 65.864 64
0.27463 65.879 64
0.27509 65.894 64
0.27556 65.909 64
0.27602 65.924 64
0.27648 65.940 64
0.27694 65.955 64
0.27741 65.970 64
0.27946 65.985 64
0.27992 66.000 64
0.28038 66.015 64
0.28084 66.031 64
0.28131 66.046 64
0.28177 66.061 64
0.28223 66.076 64
0.28269 66.091 64
